,Link2 length,Link3 length,Link4 length,Link5 length,Link6 length,Success_Rates,Manipulability_Rates,Joint2 type_pitch,Joint2 type_pris,Joint2 type_roll,Joint3 type_pitch,Joint3 type_pris,Joint3 type_roll,Joint4 type_pitch,Joint4 type_pris,Joint4 type_roll,Joint5 type_pitch,Joint5 type_pris,Joint5 type_roll,Joint6 type_pitch,Joint6 type_pris,Joint6 type_roll,Joint2 axis_y,Joint2 axis_z,Joint3 axis_x,Joint3 axis_y,Joint3 axis_z,Joint4 axis_x,Joint4 axis_y,Joint4 axis_z,Joint5 axis_x,Joint5 axis_y,Joint5 axis_z,Joint6 axis_x,Joint6 axis_y,Joint6 axis_z,Configuration index
40,0.1,0.1,0.7,0.5,0.3,0.5,0.3382451134683267,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4416
41,0.1,0.1,0.7,0.1,0.3,0.5,0.0328669823593218,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4487
42,0.1,0.1,0.7,0.3,0.3,0.5,0.0458462670393087,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,4486
43,0.1,0.1,0.1,0.7,0.7,0.3,0.0740117491586663,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,4788
44,0.1,0.1,0.1,0.3,0.7,0.3,0.4648710176325253,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4588
45,0.1,0.1,0.3,0.7,0.5,0.5,0.0183491655562894,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4868
46,0.1,0.1,0.3,0.7,0.7,0.7,0.0368346571282912,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,4650
47,0.1,0.1,0.3,0.7,0.7,0.5,0.0400517841061861,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4484
48,0.1,0.1,0.3,0.3,0.7,0.5,0.0267672077898544,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,4483
49,0.1,0.1,0.5,0.7,0.1,0.6,0.009248282731447,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4795
50,0.1,0.1,0.5,0.5,0.5,0.1,0.0376941342953728,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4720
51,0.1,0.1,0.5,0.5,0.1,0.5,0.0234390621697763,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,4719
52,0.1,0.1,0.5,0.7,0.3,0.6,0.070324872587464,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,4721
53,0.1,0.1,0.5,0.7,0.5,0.7,0.1182992767019594,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4651
54,0.1,0.1,0.5,0.5,0.3,0.6,0.0276379355605739,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4649
55,0.1,0.1,0.5,0.1,0.5,0.5,0.2150936712642527,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4453
56,0.1,0.1,0.7,0.7,0.3,0.3,0.010352388635658,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,4723
57,0.1,0.1,0.7,0.3,0.5,0.1,0.0323143825826998,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,4717
58,0.1,0.1,0.7,0.5,0.3,0.6,0.0463487671237169,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4653
59,0.1,0.1,0.7,0.3,0.1,0.5,0.0189337837422842,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4649
60,0.1,0.1,0.1,0.7,0.5,0.1,0.1087813393273863,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4317
61,0.1,0.1,0.3,0.5,0.5,0.1,0.1823957865311335,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,4322
62,0.1,0.1,0.3,0.7,0.7,0.5,0.2297191828442743,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4394
63,0.1,0.1,0.5,0.1,0.5,0.5,0.3422230636127681,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4393
64,0.1,0.1,0.7,0.7,0.3,0.8,0.3936787082608521,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4394
65,0.1,0.1,0.7,0.1,0.7,0.7,0.000361248976052,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4320
66,0.1,0.1,0.7,0.3,0.5,0.1,0.5185068608612693,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4319
67,0.1,0.1,0.7,0.3,0.7,0.3,0.3977968328044281,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,4255
68,0.1,0.1,0.7,0.5,0.3,0.7,0.5069365300794728,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4195
69,0.1,0.1,0.7,0.7,0.1,0.7,0.5365861114590901,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,4105
70,0.1,0.1,0.7,0.1,0.5,0.1,0.518545024929078,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4102
71,0.1,0.1,0.7,0.5,0.3,0.7,0.1216700093481888,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4072
72,0.1,0.1,0.3,0.3,0.5,0.1,0.2020978637319322,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,4244
