,Link2 length,Link3 length,Link4 length,Link5 length,Link6 length,Success_Rates,Manipulability_Rates,Joint2 type_pitch,Joint2 type_pris,Joint2 type_roll,Joint3 type_pitch,Joint3 type_pris,Joint3 type_roll,Joint4 type_pitch,Joint4 type_pris,Joint4 type_roll,Joint5 type_pitch,Joint5 type_pris,Joint5 type_roll,Joint6 type_pitch,Joint6 type_pris,Joint6 type_roll,Joint2 axis_y,Joint2 axis_z,Joint3 axis_x,Joint3 axis_y,Joint3 axis_z,Joint4 axis_x,Joint4 axis_y,Joint4 axis_z,Joint5 axis_x,Joint5 axis_y,Joint5 axis_z,Joint6 axis_x,Joint6 axis_y,Joint6 axis_z
11,0.1,0.1,0.5,0.7,0.5,0.5,0.0591977325248653,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
12,0.1,0.1,0.5,0.7,0.3,0.1,0.028717153767976705,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0
13,0.1,0.1,0.5,0.3,0.5,0.5,0.29512551546551297,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
14,0.1,0.1,0.7,0.1,0.3,0.5,0.07407108361637428,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
15,0.1,0.1,0.7,0.3,0.3,0.5,0.07444145180055285,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1
16,0.1,0.1,0.7,0.3,0.5,0.5,1.0849435192062286e-07,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
17,0.1,0.1,0.7,0.7,0.3,0.3,1.7514110654655508e-07,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
18,0.1,0.1,0.7,0.1,0.3,0.4,0.10816936265279103,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
19,0.1,0.1,0.7,0.3,0.7,0.3,0.10416163853182663,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0
20,0.1,0.1,0.7,0.5,0.3,0.7,6.053179346425654e-06,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
21,0.1,0.1,0.7,0.5,0.5,0.5,0.03228564227826337,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
22,0.1,0.1,0.7,0.5,0.5,0.5,3.695911571495219e-06,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
23,0.1,0.1,0.7,0.7,0.1,0.4,0.09316069971814028,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
24,0.1,0.1,0.1,0.5,0.5,0.5,0.0910546241914633,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
25,0.1,0.1,0.1,0.5,0.5,0.3,0.13919724955029839,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
26,0.1,0.1,0.1,0.7,0.7,0.5,0.11868500533064792,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
27,0.1,0.1,0.1,0.3,0.7,0.1,0.01376167509838903,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
